Sale Date,ISBN,Discount,ItemID,OrderID
01/07/2019,989-28-79-68089-3,0.15,107200-1-6303,107178-18776
01/07/2019,989-28-3705-987-7,,107200-74-9148,107200-18626
01/07/2019,989-28-3705-987-7,,107200-7-214,107200-18627
01/07/2019,989-28-3705-966-2,,107200-53-5192,107200-18628
01/07/2019,989-28-3705-987-7,,107200-21-2003,107200-18629
01/07/2019,989-28-3705-592-3,,107200-35-3338,107200-18630
01/07/2019,989-28-3705-007-2,,107200-30-2724,107200-18631
01/07/2019,989-28-3705-007-2,,107200-57-8162,107200-18632
01/07/2019,989-28-3705-152-9,,107200-63-5665,107200-18633
01/07/2019,989-28-3705-987-7,,107200-17-1702,107200-18634
01/07/2019,989-28-3705-007-2,,107200-11-6234,107200-18635
01/07/2019,989-28-3705-987-7,,107200-92-493,107200-18636
01/07/2019,989-28-3705-007-2,,107200-27-7622,107200-18637
01/07/2019,989-28-3705-987-7,,107200-31-2457,107200-18638
01/07/2019,989-28-3705-592-3,,107200-15-4713,107200-18639
01/07/2019,989-28-3705-592-3,,107200-39-2909,107200-18640
01/07/2019,989-28-3705-007-2,,107200-74-2274,107200-18641
01/07/2019,989-28-79-07610-8,,107200-50-9952,107200-18642
01/07/2019,989-28-79-32105-5,,107200-64-9118,107200-18643
01/07/2019,989-28-79-61125-5,,107200-80-2646,107200-18644
01/07/2019,989-28-79-22871-2,,107200-64-8835,107200-18645
01/07/2019,989-28-79-52883-6,,107200-8-9801,107200-18646
01/07/2019,989-28-79-82197-5,,107200-48-5996,107200-18647
01/07/2019,989-28-79-45675-7,,107200-91-6620,107200-18648
01/07/2019,989-28-79-16826-1,,107200-51-6624,107200-18649
01/07/2019,989-28-79-04510-4,,107200-22-8711,107200-18650
01/07/2019,989-28-79-27078-0,,107200-78-3382,107200-18651
01/07/2019,989-28-79-45675-7,,107200-26-9266,107200-18652
01/07/2019,989-28-79-11297-4,,107200-56-9844,107200-18653
01/07/2019,989-28-79-86624-2,,107200-22-8704,107200-18654
01/07/2019,989-28-79-21991-8,,107200-88-2557,107200-18655
01/07/2019,989-28-79-11297-4,,107200-74-1807,107200-18656
01/07/2019,989-28-79-11297-4,,107200-10-8065,107200-18657
01/07/2019,989-28-79-30536-9,,107200-60-1063,107200-18658
01/07/2019,989-28-79-32105-5,,107200-4-9334,107200-18659
01/07/2019,989-28-654-5018-9,,107200-75-5445,107200-18660
01/07/2019,989-28-79-82125-8,,107200-87-9588,107200-18661
01/07/2019,989-28-79-13871-4,,107200-63-6401,107200-18662
01/07/2019,989-28-79-69807-2,,107200-1-577,107200-18663
01/07/2019,989-28-79-69807-2,,107200-50-8204,107200-18664
01/07/2019,989-28-79-69807-2,,107200-8-9654,107200-18665
01/07/2019,989-28-79-69807-2,,107200-83-5117,107200-18666
01/07/2019,989-28-79-82749-6,,107200-77-6543,107200-18667
01/07/2019,989-28-79-82749-6,,107200-25-1369,107200-18668
01/07/2019,989-28-79-69807-2,,107200-83-5116,107200-18669
01/07/2019,989-28-79-82749-6,,107200-1-5357,107200-18670
01/07/2019,989-28-79-13871-4,,107200-98-3288,107200-18671
01/07/2019,989-28-79-69807-2,,107200-8-9653,107200-18672
01/07/2019,989-28-79-82125-8,,107200-30-8324,107200-18673
01/07/2019,989-28-79-13871-4,,107200-86-8786,107200-18674
01/07/2019,989-28-79-05670-4,,107200-46-5554,107200-18675
01/07/2019,989-28-79-82749-6,,107200-20-7584,107200-18676
01/07/2019,989-28-79-69807-2,,107200-69-8274,107200-18677
01/07/2019,989-28-79-69807-2,,107200-1-576,107200-18678
01/07/2019,989-28-79-05670-4,,107200-6-4649,107200-18679
01/07/2019,989-28-79-05670-4,,107200-97-2302,107200-18680
01/07/2019,989-28-79-05670-4,,107200-25-6994,107200-18681
01/07/2019,989-28-79-13871-4,,107200-86-8785,107200-18682
01/07/2019,989-28-79-69807-2,,107200-77-7984,107200-18683
01/07/2019,989-28-79-13871-4,,107200-98-3287,107200-18684
01/07/2019,989-28-79-82749-6,,107200-77-6542,107200-18685
01/07/2019,989-28-79-69807-2,,107200-41-1338,107200-18686
01/07/2019,989-28-79-82749-6,,107200-25-1368,107200-18687
01/07/2019,989-28-79-13871-4,,107200-18-6529,107200-18688
01/07/2019,989-28-79-05670-4,,107200-1-8654,107200-18689
01/07/2019,989-28-79-69807-2,,107200-35-6893,107200-18690
01/07/2019,989-28-79-82749-6,,107200-38-5930,107200-18691
01/07/2019,989-28-79-05670-4,,107200-61-2125,107200-18692
01/07/2019,989-28-79-82125-8,,107200-30-8323,107200-18693
01/07/2019,989-28-79-82749-6,,107200-38-5929,107200-18694
01/07/2019,989-28-79-69807-2,,107200-92-960,107200-18695
01/07/2019,989-28-79-69807-2,,107200-50-8203,107200-18696
01/07/2019,989-28-79-69807-2,,107200-69-8273,107200-18697
01/07/2019,989-28-79-69807-2,,107200-77-7983,107200-18698
01/07/2019,989-28-79-82749-6,,107200-1-5356,107200-18699
01/07/2019,989-28-654-6507-7,,107200-82-3718,107200-18700
01/07/2019,989-28-654-6507-7,,107200-51-7087,107200-18701
01/07/2019,989-28-229-1404-4,,107200-62-7899,107200-18702
01/07/2019,989-28-229-9769-6,,107200-76-9493,107200-18703
01/07/2019,989-28-229-9769-6,,107200-53-8567,107200-18704
01/07/2019,989-28-229-7592-2,,107200-79-15,107200-18705
01/07/2019,989-28-229-6632-6,,107200-52-5273,107200-18706
01/07/2019,989-28-229-9769-6,,107200-68-4265,107200-18707
01/07/2019,989-28-229-1404-4,,107200-82-4339,107200-18708
01/07/2019,989-28-229-1404-4,,107200-70-8894,107200-18709
01/07/2019,989-28-229-1404-4,,107200-67-7829,107200-18710
01/07/2019,989-28-229-1404-4,,107200-89-9359,107200-18711
01/07/2019,989-28-229-0197-6,,107200-45-923,107200-18712
01/07/2019,989-28-229-7592-2,,107200-74-327,107200-18713
01/07/2019,989-28-229-9769-6,,107200-33-3401,107200-18714
01/07/2019,989-28-229-5891-8,0.1,107200-35-6098,107200-18715
01/07/2019,989-28-229-0197-6,,107200-97-6169,107200-18716
01/07/2019,989-28-229-1404-4,,107200-92-6294,107200-18717
01/07/2019,989-28-229-6632-6,,107200-97-5338,107200-18718
01/07/2019,989-28-229-1404-4,,107200-89-939,107200-18719
01/07/2019,989-28-229-7592-2,,107200-56-9165,107200-18720
01/07/2019,989-28-229-3157-7,,107200-10-6237,107200-18721
01/07/2019,989-28-229-7592-2,,107200-36-4119,107200-18722
01/07/2019,989-28-229-9769-6,,107200-1-6372,107200-18723
01/07/2019,989-28-229-5891-8,0.1,107200-49-3386,107200-18724
01/07/2019,989-28-229-9769-6,,107200-96-5174,107200-18725
01/07/2019,989-28-229-7592-2,,107200-1-4499,107200-18726
01/07/2019,989-28-229-1404-4,,107200-76-6060,107200-18727
01/07/2019,989-28-229-5891-8,0.1,107200-54-7745,107200-18728
01/07/2019,989-28-229-5891-8,0.1,107200-36-6992,107200-18729
01/07/2019,989-28-229-7592-2,,107200-17-5574,107200-18730
01/07/2019,989-28-229-7592-2,,107200-74-4022,107200-18731
01/07/2019,989-28-229-6632-6,,107200-83-3322,107200-18732
01/07/2019,989-28-229-1404-4,,107200-95-142,107200-18733
01/07/2019,989-28-79-91028-0,,107200-24-375,107200-18734
01/07/2019,989-28-79-13801-1,,107200-33-1871,107200-18735
01/07/2019,989-28-79-13801-1,,107200-89-1631,107200-18736
01/07/2019,989-28-79-23023-4,,107200-95-367,107200-18737
01/07/2019,989-28-79-26824-4,,107200-26-5237,107200-18738
01/07/2019,989-28-79-13801-1,,107200-47-8581,107200-18739
01/07/2019,989-28-79-74374-1,,107200-24-3859,107200-18740
01/07/2019,989-28-79-13801-1,,107200-46-154,107200-18741
01/07/2019,989-28-79-13801-1,,107200-21-5900,107200-18742
01/07/2019,989-28-79-13801-1,,107200-35-5120,107200-18743
01/07/2019,989-28-79-16808-7,,107200-7-252,107200-18744
01/07/2019,989-28-79-40897-8,,107200-1-2970,107200-18745
01/07/2019,989-28-79-51397-9,,107200-92-8203,107200-18746
01/07/2019,989-28-79-74374-1,,107200-7-9582,107200-18747
01/07/2019,989-28-79-26824-4,,107200-86-1333,107200-18748
01/07/2019,989-28-79-23023-4,,107200-53-9034,107200-18749
01/07/2019,989-28-79-71565-6,,107200-66-2455,107200-18750
01/07/2019,989-28-79-74374-1,,107200-54-4610,107200-18751
01/07/2019,989-28-79-36485-4,,107200-4-411,107200-18752
01/07/2019,989-28-79-91028-0,,107200-28-9934,107200-18753
01/07/2019,989-28-79-13801-1,,107200-38-8451,107200-18754
01/07/2019,989-28-79-71565-6,,107200-4-3737,107200-18755
01/07/2019,989-28-79-13801-1,,107200-87-8200,107200-18756
01/07/2019,989-28-79-23023-4,0.13,107200-42-5445,107200-18757
01/07/2019,989-28-79-40897-8,,107200-61-3357,107200-18758
01/07/2019,989-28-79-68089-3,0.05,107200-37-2718,107200-18759
01/07/2019,989-28-79-23023-4,,107200-57-7762,107200-18760
01/07/2019,989-28-79-74374-1,,107200-36-5259,107200-18761
01/07/2019,989-28-79-26824-4,,107200-28-9276,107200-18762
01/07/2019,989-28-79-74374-1,,107200-74-5436,107200-18763
01/07/2019,989-28-79-68089-3,0.05,107200-26-1051,107200-18764
01/07/2019,989-28-79-26824-4,,107200-85-6741,107200-18765
01/07/2019,989-28-79-26824-4,,107200-3-2093,107200-18766
01/07/2019,989-28-79-91028-0,,107200-6-611,107200-18767
01/07/2019,989-28-79-23023-4,,107200-69-5008,107200-18768
01/07/2019,989-28-79-68089-3,0.05,107200-72-9557,107200-18769
01/07/2019,989-28-79-26824-4,,107200-13-1593,107200-18770
01/07/2019,989-28-79-23023-4,,107200-68-6894,107200-18771
01/07/2019,989-28-79-74374-1,,107200-18-8416,107200-18772
01/07/2019,989-28-79-43574-5,,107200-81-1327,107200-18773
01/07/2019,989-28-79-13801-1,,107200-5-2948,107200-18774
01/07/2019,989-28-79-74374-1,,107200-21-170,107200-18775
01/07/2019,989-28-79-74374-1,,107200-57-6159,107200-18777
01/07/2019,989-28-79-23023-4,,107200-24-6450,107200-18778
01/07/2019,989-28-79-26824-4,,107200-6-2583,107200-18779
01/07/2019,989-28-79-36485-4,,107200-44-1587,107200-18780
01/07/2019,989-28-79-13801-1,,107200-55-7797,107200-18781
01/07/2019,989-28-79-40897-8,,107200-80-1480,107200-18782
01/07/2019,989-28-79-71565-6,,107200-58-3346,107200-18783
01/07/2019,989-28-79-26824-4,,107200-77-5808,107200-18784
01/07/2019,989-28-79-68089-3,0.05,107200-8-5828,107200-18785
01/07/2019,989-28-79-91028-0,,107200-34-4806,107200-18786
01/07/2019,989-28-79-40897-8,,107200-26-5748,107200-18787
01/07/2019,989-28-79-51397-9,,107200-38-4473,107200-18788
01/07/2019,989-28-79-13801-1,,107200-26-2755,107200-18789
01/07/2019,989-28-79-91028-0,,107200-1-8147,107200-18790
01/07/2019,989-28-79-13801-1,,107200-17-8751,107200-18791
01/07/2019,989-28-79-55752-2,,107200-1-8712,107200-18792
01/07/2019,989-28-79-68089-3,0.15,107200-1-3299,107200-18793
01/07/2019,989-28-79-13801-1,,107200-50-8605,107200-18794
01/07/2019,989-28-79-91028-0,,107200-54-2416,107200-18795
01/07/2019,989-28-79-13801-1,,107200-82-2969,107200-18796
01/07/2019,989-28-79-91028-0,,107200-37-8685,107200-18797
01/07/2019,989-28-79-74374-1,,107200-12-1711,107200-18798
01/07/2019,989-28-79-13801-1,,107200-30-5412,107200-18799
01/07/2019,989-28-3705-222-9,,107200-50-2217,107200-18800
01/07/2019,989-28-3705-492-6,,107200-47-3656,107200-18801
01/07/2019,989-28-3705-222-9,,107200-62-8333,107200-18802
01/07/2019,989-28-3705-492-6,,107200-13-6148,107200-18803
01/07/2019,989-28-79-03683-6,,107200-1-8450,107200-18804
01/07/2019,989-28-79-03683-6,,107200-80-7944,107200-18805
01/07/2019,989-28-3705-492-6,,107200-79-6418,107200-18806
01/07/2019,989-28-3705-492-6,,107200-40-5982,107200-18807
01/07/2019,989-28-3705-492-6,,107200-56-2678,107200-18808
01/07/2019,989-28-3705-492-6,,107200-34-4557,107200-18809
01/07/2019,989-28-79-03683-6,,107200-51-524,107200-18810
01/07/2019,989-28-3705-492-6,,107200-20-4674,107200-18811
01/07/2019,989-28-3705-222-9,,107200-30-9270,107200-18812
01/07/2019,989-28-3705-222-9,,107200-87-3885,107200-18813
01/07/2019,989-28-3705-222-9,,107200-74-3946,107200-18814
01/07/2019,989-28-3705-007-2,,107200-60-314,107200-18815
01/07/2019,989-28-3705-649-4,,107200-74-2483,107200-18815
01/07/2019,989-28-3705-007-2,,107200-71-1215,107200-18816
01/07/2019,989-28-3705-649-4,,107200-76-346,107200-18816
01/07/2019,989-28-3705-007-2,,107200-18-2745,107200-18817
01/07/2019,989-28-3705-138-3,,107200-40-891,107200-18817
01/07/2019,989-28-3705-007-2,,107200-39-2646,107200-18818
01/07/2019,989-28-3705-987-7,,107200-48-6312,107200-18818
01/07/2019,989-28-79-11297-4,,107200-43-1779,107200-18819
01/07/2019,989-28-79-21991-8,,107200-98-9125,107200-18819
01/07/2019,989-28-79-13871-4,,107200-18-6528,107200-18820
01/07/2019,989-28-79-05670-4,,107200-6-8230,107200-18820
01/07/2019,989-28-79-82749-6,,107200-20-7583,107200-18821
01/07/2019,989-28-79-13871-4,,107200-44-2382,107200-18821
01/07/2019,989-28-79-69807-2,,107200-35-6892,107200-18822
01/07/2019,989-28-79-13871-4,,107200-44-2381,107200-18822
01/07/2019,989-28-229-9769-6,,107200-17-3157,107200-18823
01/07/2019,989-28-79-05670-4,,107200-59-4554,107200-18823
01/07/2019,989-28-229-9769-6,,107200-73-2876,107200-18824
01/07/2019,989-28-229-9769-6,,107200-77-2883,107200-18824
01/07/2019,989-28-229-9769-6,,107200-1-840,107200-18825
01/07/2019,989-28-79-91028-0,,107200-20-1452,107200-18825
01/07/2019,989-28-79-74374-1,,107200-21-7438,107200-18826
01/07/2019,989-28-79-13801-1,,107200-5-6975,107200-18826
01/07/2019,989-28-79-68089-3,0.05,107200-73-7380,107200-18827
01/07/2019,989-28-79-13801-1,,107200-33-7171,107200-18827
01/07/2019,989-28-79-23023-4,,107200-21-3347,107200-18828
01/07/2019,989-28-79-91028-0,,107200-37-3604,107200-18828
01/07/2019,989-28-79-13801-1,,107200-53-9185,107200-18829
01/07/2019,989-28-79-74374-1,,107200-76-7161,107200-18829
01/07/2019,989-28-79-13801-1,,107200-64-9459,107200-18830
01/07/2019,989-28-79-74374-1,,107200-88-2239,107200-18830
01/07/2019,989-28-3705-222-9,,107200-48-4250,107200-18831
01/07/2019,989-28-3705-492-6,,107200-90-6459,107200-18831
01/07/2019,989-28-3705-492-6,,107200-17-5813,107200-18832
01/07/2019,989-28-3705-492-6,,107200-52-1483,107200-18832
01/07/2019,989-28-3705-007-2,,107200-46-5006,107200-18833
01/07/2019,989-28-3705-369-1,,107200-8-7220,107200-18833
01/07/2019,989-28-79-03683-6,,107200-95-1083,107200-18833
01/07/2019,989-28-79-69807-2,,107200-41-1337,107200-18834
01/07/2019,989-28-79-82125-8,,107200-87-9587,107200-18834
01/07/2019,989-28-79-05670-4,,107200-89-9600,107200-18834
01/07/2019,989-28-229-1404-4,,107200-62-629,107200-18835
01/07/2019,989-28-654-6033-1,,107200-75-820,107200-18835
01/07/2019,989-28-79-69807-2,,107200-92-959,107200-18835
