,,,,,,
BookName,AuthorName,AverageRating,RatingCount,Score,TotalPeopleVoted
" House of Sky and Breath (Crescent City, #2) ",Sarah J. Maas,4.55 avg rating ," 104,548 ratings","score: 44,322",447 people voted
 Book of Night ,Holly Black,3.63 avg rating ," 7,732 ratings","score: 33,900",346 people voted
 Gallant ,V.E. Schwab,3.89 avg rating ," 29,418 ratings","score: 27,398",280 people voted
" The War of Two Queens (Blood and Ash, #4) ",Jennifer L. Armentrout,4.06 avg rating ," 47,852 ratings","score: 25,310",257 people voted
" Chain of Thorns (The Last Hours, #3) ",Cassandra Clare,4.42 avg rating , 553 ratings,"score: 19,252",197 people voted
 Book Lovers ,Emily Henry,4.46 avg rating ," 88,047 ratings","score: 17,275",178 people voted
" Daughter of the Moon Goddess (The Celestial Kingdom Duology, #1) ",Sue Lynn Tan,4.19 avg rating ," 15,369 ratings","score: 14,881",155 people voted
" Bloodmarked (Legendborn, #2) ",Tracy Deonn,4.67 avg rating , 241 ratings,"score: 13,293",136 people voted
" This Woven Kingdom (This Woven Kingdom, #1) ",Tahereh Mafi,4.10 avg rating ," 10,389 ratings","score: 12,879",134 people voted
" Babel, or The Necessity of Violence: An Arcane History of the Oxford Translators' Revolution ",R.F. Kuang,4.54 avg rating , 407 ratings,"score: 12,864",133 people voted
 Love on the Brain ,Ali Hazelwood,4.39 avg rating ," 1,652 ratings","score: 12,708",134 people voted
" Nona the Ninth (The Locked Tomb, #3) ",Tamsyn Muir,4.61 avg rating , 116 ratings,"score: 11,769",120 people voted
 The Girl Who Fell Beneath the Sea ,Axie Oh,4.19 avg rating ," 11,387 ratings","score: 11,713",123 people voted
 Reminders of Him ,Colleen Hoover,4.56 avg rating ," 262,636 ratings","score: 10,464",108 people voted
" Soul Taken (Mercy Thompson, #13) ",Patricia Briggs,4.51 avg rating , 282 ratings,"score: 8,358",86 people voted
" Ruby Fever (Hidden Legacy, #6) ",Ilona Andrews,4.54 avg rating , 233 ratings,"score: 8,053",83 people voted
" Only a Monster (Monsters, #1) ",Vanessa Len,3.97 avg rating ," 8,649 ratings","score: 7,750",84 people voted
" Belladonna (Belladonna, #1) ",Adalyn  Grace,4.33 avg rating , 268 ratings,"score: 7,543",78 people voted
" Kingdom of the Feared (Kingdom of the Wicked, #3) ",Kerri Maniscalco,4.58 avg rating , 305 ratings,"score: 7,257",77 people voted
 I Kissed Shara Wheeler ,Casey McQuiston,4.27 avg rating ," 10,957 ratings","score: 7,179",76 people voted
" Foul Lady Fortune (Foul Lady Fortune, #1) ",Chloe Gong,4.71 avg rating , 116 ratings,"score: 7,112",75 people voted
 Glow (The Plated Prisoner #4) ,Raven Kennedy,4.50 avg rating , 351 ratings,"score: 6,679",70 people voted
" Husband Material (Boyfriend Material, #2) ",Alexis  Hall,4.24 avg rating , 386 ratings,"score: 6,646",69 people voted
" Hook, Line, and Sinker (Bellinger Sisters, #2) ",Tessa Bailey,4.12 avg rating ," 74,104 ratings","score: 6,624",69 people voted
 Where the Drowned Girls Go ,Seanan McGuire,4.12 avg rating ," 8,079 ratings","score: 6,568",68 people voted
" Until Next Time (Against All Odds: St. James Family, #1) ",Claudia Y. Burgoa,4.09 avg rating , 427 ratings,"score: 6,534",66 people voted
 All My Rage ,Sabaa Tahir,4.62 avg rating ," 6,188 ratings","score: 6,484",69 people voted
" Fevered Star (Between Earth and Sky, #2) ",Rebecca Roanhorse,4.21 avg rating ," 2,921 ratings","score: 6,359",67 people voted
" Violet Made of Thorns (Violet Made of Thorns, #1) ",Gina Chen,4.08 avg rating , 496 ratings,"score: 6,024",64 people voted
" Untitled (The Murderbot Diaries, #7) ",Martha Wells,4.32 avg rating , 41 ratings,"score: 5,096",53 people voted
 The Monarch's Ring (The Lost Artefacts #2) ,Johnathon Nicolaou,4.64 avg rating , 14 ratings,"score: 4,992",50 people voted
" Untitled (Aurelia Ryder, #2) ",Ilona Andrews,4.07 avg rating , 15 ratings,"score: 4,980",52 people voted
" A Tempest of Tea (A Tempest of Tea, #1) ",Hafsah Faizal,4.66 avg rating , 47 ratings,"score: 4,505",48 people voted
" A Magic Steeped in Poison (The Book of Tea, #1) ",Judy I. Lin,3.98 avg rating ," 3,431 ratings","score: 4,403",50 people voted
" The Atlas Paradox (The Atlas, #2) ",Olivie Blake,4.47 avg rating , 59 ratings,"score: 4,354",47 people voted
 Anatomy: A Love Story ,Dana Schwartz,3.79 avg rating ," 15,933 ratings","score: 4,083",44 people voted
" Untitled (The Iron Covenant, #2) ",Ilona Andrews,4.39 avg rating , 62 ratings,"score: 3,961",42 people voted
 Earthflown ,Frances  Wren,4.78 avg rating , 113 ratings,"score: 3,688",39 people voted
 The Red Palace ,June Hur,4.18 avg rating ," 2,627 ratings","score: 3,688",40 people voted
" A Light in the Flame (Flesh and Fire, #2) ",Jennifer L. Armentrout,4.79 avg rating , 129 ratings,"score: 3,664",40 people voted
" Crowbones (The World of the Others, #3; The Others, #8) ",Anne Bishop,4.45 avg rating ," 4,622 ratings","score: 3,578",37 people voted
